time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,9.7,3.8,12.0,0.0,0.0,192.0,8.6,26.6,1027.1,0.0
2022-01-02,8.1,3.2,12.0,5.1,0.0,221.0,15.8,62.3,1019.3,96.0
2022-01-03,9.8,7.7,12.1,13.6,0.0,230.0,22.3,47.9,1014.3,9.0
2022-01-04,7.4,5.8,9.9,19.3,0.0,209.0,16.2,51.5,1000.4,0.0
2022-01-05,3.9,1.8,6.1,0.0,0.0,241.0,23.4,54.4,1008.4,126.0
2022-01-06,2.2,-2.2,6.2,0.0,0.0,246.0,10.4,27.4,1020.2,172.0
2022-01-07,1.2,-1.2,2.9,13.9,0.0,202.0,18.0,42.5,1017.4,0.0
2022-01-08,2.0,-0.3,4.5,7.5,20.0,209.0,15.5,45.7,1010.4,80.0
2022-01-09,4.3,0.0,6.9,0.0,0.0,227.0,19.8,47.5,1002.5,49.0
2022-01-10,2.1,-2.3,7.0,0.0,0.0,109.0,4.0,16.9,1022.8,364.0
2022-01-11,2.6,-1.5,5.4,0.0,0.0,70.0,5.0,19.1,1035.2,0.0
2022-01-12,1.6,-2.7,5.9,0.0,0.0,115.0,5.0,17.6,1040.6,251.0
2022-01-13,0.1,-2.8,1.6,0.0,0.0,202.0,5.0,18.0,1042.9,0.0
2022-01-14,-0.7,-2.0,0.2,0.0,0.0,187.0,6.5,27.0,1037.8,0.0
2022-01-15,1.7,0.0,2.6,0.0,0.0,75.0,7.6,22.7,1031.2,0.0
2022-01-16,2.1,0.7,3.9,0.0,0.0,220.0,16.9,33.5,1028.6,16.0
2022-01-17,4.8,2.6,6.6,0.0,0.0,231.0,18.0,38.5,1034.4,0.0
2022-01-18,5.6,3.8,7.6,0.0,0.0,157.0,4.7,16.6,1038.6,2.0
2022-01-19,3.0,-1.4,5.1,0.3,0.0,188.0,14.8,41.8,1028.3,164.0
2022-01-20,3.4,1.2,5.8,0.3,0.0,276.0,18.0,40.7,1027.5,212.0
2022-01-21,2.8,-0.9,4.9,0.0,0.0,281.0,15.8,43.9,1033.8,92.0
2022-01-22,5.4,4.5,6.6,0.0,0.0,272.0,14.4,39.6,1034.5,0.0
2022-01-23,5.4,4.2,6.6,0.0,0.0,33.0,6.5,22.3,1036.7,0.0
2022-01-24,4.2,-0.7,5.7,0.0,0.0,102.0,6.1,24.5,1036.0,0.0
2022-01-25,0.0,-3.9,1.5,0.0,0.0,126.0,5.8,15.8,1035.1,43.0
2022-01-26,1.1,0.1,2.1,0.0,0.0,224.0,12.6,27.0,1034.0,0.0
2022-01-27,1.9,0.6,4.2,0.7,0.0,213.0,20.9,55.4,1028.9,0.0
2022-01-28,4.9,1.8,7.9,0.0,0.0,273.0,15.1,41.0,1034.1,217.0
2022-01-29,5.7,3.9,9.1,0.8,0.0,217.0,27.7,56.9,1028.6,0.0
2022-01-30,5.8,-1.2,9.1,1.1,0.0,281.0,18.7,56.5,1028.2,170.0
2022-01-31,4.3,-0.6,6.2,0.9,0.0,246.0,23.8,67.0,1013.5,38.0
2022-02-01,4.8,3.2,8.6,0.6,0.0,250.0,24.1,61.2,1018.1,0.0
2022-02-02,6.8,1.2,9.8,0.5,0.0,257.0,16.2,48.2,1020.1,150.0
2022-02-03,7.1,3.9,9.1,0.0,0.0,222.0,13.0,35.3,1019.4,0.0
2022-02-04,6.5,1.5,8.2,2.4,0.0,227.0,22.3,55.8,1015.1,0.0
2022-02-05,3.5,-1.3,7.8,0.0,0.0,231.0,20.5,43.6,1023.4,397.0
2022-02-06,5.7,3.5,7.0,10.7,0.0,226.0,31.0,70.9,1011.3,0.0
2022-02-07,4.5,0.2,7.9,0.0,0.0,273.0,20.2,63.0,1022.8,290.0
2022-02-08,5.9,2.6,7.7,0.0,0.0,210.0,20.2,48.6,1031.7,0.0
2022-02-09,7.9,1.8,13.0,0.0,0.0,215.0,11.5,39.2,1028.7,209.0
2022-02-10,4.7,-0.5,8.6,3.4,0.0,220.0,13.7,36.7,1023.3,0.0
2022-02-11,3.3,-4.0,7.5,0.0,0.0,264.0,16.6,45.7,1030.3,310.0
2022-02-12,0.3,-4.6,7.4,0.0,0.0,100.0,5.4,20.5,1031.5,516.0
2022-02-13,1.8,-5.8,11.1,0.0,0.0,177.0,6.5,41.4,1018.5,554.0
2022-02-14,6.1,-1.0,11.9,0.1,0.0,175.0,12.2,37.8,1008.1,15.0
2022-02-15,7.0,5.0,10.0,3.2,0.0,218.0,18.4,42.8,1013.7,175.0
2022-02-16,8.8,5.5,14.0,4.6,0.0,207.0,29.2,69.8,1005.5,0.0
2022-02-17,11.1,7.3,13.9,0.2,0.0,258.0,39.6,91.4,1007.5,277.0
2022-02-18,9.8,7.2,13.7,0.9,0.0,219.0,29.9,122.0,1007.6,0.0
2022-02-19,7.0,4.3,9.1,0.0,0.0,240.0,33.5,87.8,1016.2,339.0
2022-02-20,8.2,5.9,10.5,6.1,0.0,220.0,35.3,74.5,1012.5,0.0
2022-02-21,6.8,3.3,10.7,1.1,0.0,253.0,34.6,78.8,1005.8,169.0
2022-02-22,7.3,4.3,9.4,2.2,0.0,246.0,23.8,54.7,1020.5,128.0
2022-02-23,6.4,0.4,11.9,0.0,0.0,223.0,10.4,33.1,1026.5,577.0
2022-02-24,6.9,1.9,12.1,1.6,0.0,218.0,17.3,73.8,1016.5,42.0
2022-02-25,3.7,0.9,7.7,0.1,0.0,237.0,19.4,61.2,1025.6,193.0
2022-02-26,3.7,-1.6,7.7,0.0,0.0,14.0,8.6,33.8,1035.4,481.0
2022-02-27,3.4,-2.8,9.2,0.0,0.0,77.0,10.1,34.9,1034.4,613.0
2022-02-28,3.4,-2.9,10.2,0.0,0.0,74.0,7.9,25.6,1033.5,618.0
2022-03-01,3.1,-2.4,8.2,0.0,0.0,83.0,8.6,24.5,1031.3,506.0
2022-03-02,3.7,-1.4,9.6,0.0,0.0,74.0,8.3,34.2,1025.3,331.0
2022-03-03,4.1,-3.3,11.2,0.0,0.0,48.0,10.1,34.9,1020.6,630.0
2022-03-04,3.5,-2.1,8.7,0.0,0.0,44.0,11.2,25.6,1022.4,617.0
2022-03-05,2.8,-2.3,8.2,0.0,0.0,71.0,9.0,31.0,1023.3,583.0
2022-03-06,2.9,-1.6,7.6,0.0,0.0,46.0,13.7,41.4,1025.0,389.0
2022-03-07,1.6,-2.8,5.7,0.0,0.0,72.0,12.2,35.6,1027.2,627.0
2022-03-08,2.8,-4.8,10.4,0.0,0.0,83.0,9.7,37.8,1024.9,650.0
2022-03-09,4.1,-2.8,12.8,0.0,0.0,26.0,7.2,22.7,1025.9,655.0
2022-03-10,7.3,-1.6,15.5,0.0,0.0,70.0,10.4,34.2,1025.9,658.0
2022-03-11,6.2,-0.4,13.1,0.0,0.0,78.0,11.2,32.4,1021.0,614.0
2022-03-12,7.7,1.4,14.2,0.0,0.0,82.0,8.6,24.1,1021.0,564.0
2022-03-13,8.5,0.4,15.6,3.2,0.0,63.0,9.0,29.5,1018.1,607.0
2022-03-14,8.6,3.9,13.3,0.1,0.0,227.0,14.8,42.5,1027.3,227.0
2022-03-15,5.9,1.6,8.1,10.8,0.0,44.0,8.6,36.7,1027.0,0.0
2022-03-16,6.9,-0.4,13.0,0.0,0.0,68.0,9.7,28.8,1026.3,162.0
2022-03-17,8.7,6.7,10.5,0.2,0.0,40.0,10.8,34.2,1029.7,0.0
2022-03-18,8.9,5.6,14.6,0.0,0.0,39.0,20.9,52.2,1041.0,549.0
2022-03-19,7.9,4.4,13.3,0.0,0.0,51.0,19.4,57.6,1038.9,605.0
2022-03-20,9.1,2.1,15.7,0.0,0.0,98.0,11.2,36.0,1030.7,439.0
2022-03-21,9.7,3.0,16.9,0.0,0.0,66.0,7.2,19.1,1033.2,505.0
2022-03-22,9.4,1.4,18.2,0.0,0.0,74.0,7.9,34.2,1032.8,695.0
2022-03-23,9.6,0.9,19.4,0.0,0.0,33.0,5.4,30.6,1031.4,690.0
2022-03-24,9.9,1.4,19.8,0.0,0.0,13.0,7.6,37.4,1029.2,687.0
2022-03-25,10.7,0.1,19.2,0.0,0.0,56.0,9.7,39.6,1029.0,671.0
2022-03-26,12.6,3.5,19.2,0.0,0.0,45.0,12.6,39.2,1030.7,690.0
2022-03-27,13.6,5.8,20.1,0.0,0.0,,9.7,30.2,1029.7,704.0
2022-03-28,13.4,5.4,21.5,0.0,0.0,297.0,8.6,33.8,1022.2,627.0
2022-03-29,11.9,6.5,15.9,1.9,0.0,41.0,9.7,36.4,1011.4,155.0
2022-03-30,8.9,5.1,12.4,2.2,0.0,43.0,13.7,32.8,1003.6,159.0
2022-03-31,5.7,3.6,8.6,0.3,0.0,45.0,13.3,39.2,999.4,0.0
2022-04-01,1.7,-0.1,3.7,2.6,0.0,21.0,21.2,45.7,1004.5,0.0
2022-04-02,1.7,-0.3,4.4,0.0,20.0,22.0,22.3,50.4,1015.2,29.0
2022-04-03,2.3,-2.8,8.0,0.0,0.0,13.0,12.2,33.1,1022.7,583.0
2022-04-04,4.2,-2.8,9.6,0.3,0.0,225.0,29.9,69.5,1016.1,378.0
2022-04-05,8.7,6.1,11.5,0.2,0.0,230.0,31.0,56.9,1009.7,1.0
2022-04-06,11.3,9.2,14.4,0.2,0.0,232.0,27.4,58.3,1005.6,168.0
2022-04-07,11.3,9.0,15.0,3.3,0.0,229.0,38.5,96.8,994.6,196.0
2022-04-08,5.5,2.4,9.1,15.2,0.0,276.0,16.9,60.1,1000.5,0.0
2022-04-09,5.5,-0.1,11.2,0.3,0.0,253.0,16.6,51.5,1012.8,244.0
2022-04-10,4.2,-2.4,10.8,0.0,0.0,203.0,9.0,33.8,1022.2,212.0
2022-04-11,8.5,-0.7,16.1,0.0,0.0,90.0,9.0,30.2,1019.1,727.0
2022-04-12,14.5,5.9,22.9,0.0,0.0,78.0,10.4,31.3,1013.9,626.0
2022-04-13,17.1,9.1,24.4,0.0,0.0,23.0,7.6,21.6,1016.1,488.0
2022-04-14,14.8,9.4,18.5,0.0,0.0,38.0,10.1,36.0,1021.2,125.0
2022-04-15,12.5,5.8,19.7,0.0,0.0,40.0,11.5,48.2,1026.2,745.0
2022-04-16,11.4,4.6,15.9,0.0,0.0,45.0,15.5,42.5,1031.4,624.0
2022-04-17,10.5,2.8,17.3,0.0,0.0,73.0,9.4,31.0,1028.1,804.0
2022-04-18,11.6,4.6,18.2,0.0,0.0,47.0,9.4,35.3,1019.5,807.0
2022-04-19,12.3,4.5,18.6,0.0,0.0,48.0,12.6,45.4,1014.5,791.0
2022-04-20,11.5,2.9,17.4,0.0,0.0,56.0,14.0,41.4,1015.6,806.0
2022-04-21,11.6,5.0,16.7,0.0,0.0,48.0,13.3,37.4,1011.6,354.0
2022-04-22,13.2,7.4,19.7,0.0,0.0,50.0,17.3,46.4,1005.3,543.0
2022-04-23,13.0,8.5,16.4,0.0,0.0,73.0,13.0,36.4,1004.3,200.0
2022-04-24,11.8,4.9,15.2,0.0,0.0,37.0,15.8,36.7,1002.5,15.0
2022-04-25,9.6,2.7,16.6,9.7,0.0,76.0,7.2,39.6,1011.2,271.0
2022-04-26,8.2,5.6,10.4,10.0,0.0,24.0,9.0,30.6,1017.2,1.0
2022-04-27,11.0,2.2,18.3,0.0,0.0,68.0,7.2,33.5,1024.7,635.0
2022-04-28,13.4,5.0,20.5,0.0,0.0,49.0,8.6,31.7,1028.5,777.0
2022-04-29,14.7,7.5,19.9,0.8,0.0,35.0,9.4,37.8,1026.6,414.0
2022-04-30,10.2,6.7,12.7,4.5,0.0,19.0,15.1,35.6,1024.8,0.0
2022-05-01,12.5,7.1,17.3,0.0,0.0,29.0,10.8,31.3,1022.3,171.0
2022-05-02,14.5,6.7,20.8,0.0,0.0,43.0,9.7,30.2,1017.9,578.0
2022-05-03,16.5,12.9,21.1,0.0,0.0,32.0,14.4,38.2,1016.5,528.0
2022-05-04,15.5,10.2,20.9,0.0,0.0,19.0,10.1,25.9,1017.4,326.0
